label,risk_level
2차 저작물,M
각서 작성 일자,L
각서 제출처,L
각서의 교부,M
각서의 내용,M
각서의 목적,L
감액요청권,M
강제집행,H
검색의 항변권의 포기,M
검수,M
경업 및 겸직금지의무,H
경쟁제한 의무,H
계약 금액의 변경,M
계약 변경에 대한 합의,M
계약 보증금,H
계약 이행 보증금,H
계약 체결 사실,M
계약 체결 일자,L
계약갱신,M
계약금의 지급,M
계약기간,M
계약서의 교부,M
"계약을 위한 협조, 협의",M
계약의 내용,M
계약의 당사자,L
계약의 대상,M
계약의 목적,L
계약의 목적물,L
계약의 발효일,M
계약의 변경,M
계약의 실효,M
계약의 일부,M
계약의 해제,H
"계약의 해제, 해지",H
계약의 해지,H
계약의 효력,M
계약의 효력요건,M
계약해지에 따른 정산,H
계약해지일,H
계정생성,M
고객 서비스,M
고객의 의무,M
공급가격,M
공제동의,M
관계법령준수,M
관리규정,M
관리비,M
관리비 및 제세공과금,M
관리인의 선임,M
관리책임,M
관할 법원,H
관할법,M
관할법원,H
교환 및 반품,M
구매보증,H
"권리,의무의 승계",M
권리금,M
권리보증,H
권리불포기조항,M
"권리의 양도, 처분 금지",M
규정 위반,M
근로 계약 기간,M
근로 시간,M
근로 환경 변경,M
근로계약의 종료,H
근로시간,M
근로자의 기명날인,L
근로자의 의무,M
근로자의 인적사항,L
근무 장소,M
근무장소,M
근저당 이전,M
근저당권,M
근저당권 실행,M
근저당권 효력의 범위,M
근저당권설정자,M
근저당권설정자의 기명날인,L
근저당권설정자의 의무,M
근저당권설정자의 인적사항,L
근저당권의 설정,M
근저당권자,M
근저당권자의 기명날인,L
근저당권자의 인적사항,L
근태사항,M
금전소비대차,M
금지사항,M
기간의 갱신,M
기술보유자의 기명날인,L
기술보유자의 인적사항,L
기술실시자의 기명날인,L
기술실시자의 인적사항,L
기술의 정의,L
기술지원의 범위,M
기타,M
기타급여,M
기한 이익의 상실,H
납품,M
누적적권리조항,M
담당 업무,M
담당업무,M
담보 훼멸에 관한 처리,H
담보물의 처분방법,H
담보제공,H
담보제공금지,H
담보제약,H
담보책임,H
당사자 지위승계,L
대금 지급 방법,M
대금지급,M
대리권 수여,M
도급 대금,M
도급단가,M
도급업무의 범위,M
도급인의 권리,M
도급인의 기명날인,L
도급인의 인적사항,L
동종업종 임대제한,H
라이선스,M
라이선시,M
라이선시의 기명날인,L
라이선시의 의무,M
라이선시의 인적사항,L
로열티,M
매도인의 기명날인,L
매도인의 의무,M
매도인의 인적사항,L
매매대금,M
매수인의 기명날인,L
매수인의 의무,M
매수인의 인적사항,L
면책,H
목적물의 인도,L
목적물의 표시,L
물건의 표시,L
물상보증인,H
물상보증인의 기명날인,H
물상보증인의 인적사항,H
미납금액,M
반품,M
발주,M
발행주식종류,M
배상책임의 귀속,M
변제기,H
변제순위,H
변제충당,H
보안업무의 협조,M
보증,H
보증 소멸 합의,H
보증인,H
보험가입의무,M
부담부분,M
부대 설비의 하자,M
부동산의 표시,L
부속물의 이전,M
부속약정,M
비밀 유지,M
비밀 유지 의무,M
비밀 정보의 의의,M
비용 부담,M
비용부담,M
비용상환 청구권 포기 특약,H
비침해 보증,H
사급자재,M
사용권의 범위,M
사용대차,M
사용자의 기명날인,L
사용자의 의무,M
사용자의 인적사항,L
사전 동의,M
사전승낙의무,M
사회보험의 가입,M
상계,M
상린관계,M
상여금,M
상표권의 표시,L
상표권침해금지,M
상표의 사용법,M
상품의 유통범위,M
상품의 정의,L
상환방법,H
서비스 대금,M
서비스 비용,M
서비스 수행,M
서비스 신청,M
서비스 제공자의 기명날인,L
서비스 제공자의 인적사항,L
서비스의 내용,M
선관의무,M
선량한 관리자의 의무,M
세금부담,M
소유권 이전,M
소유권의 귀속,M
소유권의 이전,M
손익 귀속,M
손해배상 청구,H
손해배상의 예정,H
송하인의 기명날인,L
송하인의 의무,M
송하인의 인적사항,L
수급인의 기명날인,L
수급인의 의무,M
수급인의 인적사항,L
수급인의 자격,M
수수료,M
수습 기간,M
수습사원,M
수임인의 기명날인,L
수임인의 인적사항,L
수임자의 기명날인,L
수임자의 인적사항,L
수임자의 통지 의무,M
수증자의 기명날인,L
수증자의 인적사항,L
수증자의 주식 반환의무,M
시간 조정 및 합의,M
시설물의 개조 및 설치,M
신의성실,M
신의성실의무,M
실정조사,M
실효간주조항,M
액면가,M
약관개정 동의간주,M
약관개정 미동의,M
약관의 개정,M
약관의 게시,M
약관의 당사자,L
약관의 목적,L
약관의 유효기간,M
약관의 적용범위,M
약관의 효력발생,M
약정의 존속,L
양도 및 전대 금지,M
양도채권,M
양도통지,M
"업무 수행을 위한 협조, 협의",M
"업무수행을 위한 협조, 협의",M
연대보증인의 기명날인,H
연대보증인의 인적사항,H
연체이자,H
영업허가권,M
완제 후의 반환절차,M
용도,M
용도 외 사용제한,M
용어의 정의,L
용역 계약 기간,M
용역 대상의 납품,M
용역 대상의 품질 검사,M
용역비용,M
용역의 대상,M
운송료,M
운송료의 지불,M
운송인의 기명날인,L
운송인의 의무,M
운송인의 인적사항,L
원금,H
원상회복,M
원상회복의무,M
위약금,H
위약벌,H
위임인의 기명날인,L
위임인의 인적사항,L
위임자에게 권리 귀속,M
위임자의 기명날인,L
위임자의 인적사항,L
"위임자의 지시, 감독",M
위험부담,H
유지 보수의무,M
유지보수료,M
유지보수의무,M
이용제한,H
이자,H
이해상반행위,M
이행 청구,M
이행지체,M
인도방법,M
일부무효,M
일할 계산의 원칙,M
임금 지급 방법,M
임금 지급일,M
임금액,M
임대료 및 관리비의 조정,M
임대목적물 출입권 및 출입통제권,L
임대인의 기명날인,L
임대인의 의무,M
임대인의 인적사항,L
임대인의 처분권,M
임차목적물의 변경,L
임차보증금,H
임차인의 기명날인,L
임차인의 의무,M
임차인의 인적사항,L
임차인의 자격,M
입점 예정일,M
입회인의 기명날인,L
입회인의 인적사항,L
자동갱신,M
자료 보관 책임,M
자료 제공 책임,M
자료의 처리,M
자료제출 의무,M
작성자 기명날인,L
작성자 인적사항,L
작업비,M
재도급의 제한,M
재산의 표시,L
재직 보증기간,H
저작권,M
저작권자의 기명날인,L
저작권자의 인적사항,L
전용실시권자의 인적사항,L
제3자 등 권리침해 금지,M
제법규의 이행,M
제작사의 기명날인,L
제작사의 인적사항,L
제조물책임,M
제출의무,M
제한적 권리의 말소,M
